Mass	mmu	ppm	
403.75681	1.615	4.00
404.88464	1.620	4.00
405.79855	1.623	4.00
405.81149	1.623	4.00
406.75543	1.627	4.00
407.79407	1.223	3.00
407.86972	1.631	4.00
409.74533	1.639	4.00
418.77203	1.256	3.00
419.31558	1.258	3.00
422.35764	1.689	4.00
422.78842	1.691	4.00
423.80624	1.271	3.00
425.89200	1.704	4.00
426.77142	1.707	4.00
427.76294	1.711	4.00
428.89157	1.287	3.00
429.08923	1.287	3.00
429.89423	1.290	3.00
430.08835	1.290	3.00
430.77283	1.723	4.00
430.88867	1.293	3.00
431.08594	1.293	3.00
431.09192	1.293	3.00
431.72684	1.295	3.00
431.89218	1.296	3.00
432.74921	1.731	4.00
432.88577	1.299	3.00
433.88879	1.302	3.00
434.75296	1.304	3.00
434.77460	1.739	4.00
434.88281	1.305	3.00
435.71097	1.743	4.00
435.88586	1.308	3.00
436.36707	1.745	4.00
436.38031	1.746	4.00
436.87949	1.311	3.00
438.30905	1.753	4.00
440.85400	1.763	4.00
443.77893	1.775	4.00
444.36453	1.777	4.00
444.73279	1.779	4.00
444.80627	1.779	4.00
445.12039	1.335	3.00
445.28787	1.781	4.00
445.93008	1.784	4.00
446.11951	1.338	3.00
446.76633	1.340	3.00
447.11710	1.341	3.00
447.34741	1.342	3.00
448.11612	1.344	3.00
449.11417	1.796	4.00
449.72366	1.799	4.00
449.79065	1.349	3.00
450.72998	1.803	4.00
450.79245	1.352	3.00
450.79901	1.803	4.00
451.25192	1.805	4.00
451.28812	1.805	4.00
452.30377	1.809	4.00
452.81213	1.811	4.00
453.76358	1.815	4.00
454.83594	1.819	4.00
456.30164	1.825	4.00
456.69955	1.370	3.00
457.70044	1.831	4.00
458.00687	1.832	4.00
459.23013	1.837	4.00
459.24869	1.837	4.00
459.83972	1.380	3.00
459.84647	1.839	4.00
460.92538	1.844	4.00
461.23425	1.845	4.00
463.80719	1.855	4.00
464.79971	1.859	4.00
464.80759	1.859	4.00
465.80542	1.863	4.00
465.87564	1.864	4.00
467.77557	1.871	4.00
467.80164	1.403	3.00
468.80240	1.406	3.00
469.28699	1.877	4.00
471.25327	1.885	4.00
472.73157	1.891	4.00
472.81900	1.891	4.00
474.85110	1.899	4.00
475.87302	1.903	4.00
476.79883	1.430	3.00
477.27328	1.909	4.00
477.78748	1.911	4.00
478.75085	1.915	4.00
479.33438	1.917	4.00
479.75156	1.919	4.00
480.69223	1.923	4.00
480.72763	1.442	3.00
481.81732	1.445	3.00
483.75092	1.935	4.00
484.74924	1.939	4.00
486.78226	1.947	4.00
487.73218	1.951	4.00
489.74225	1.959	4.00
493.00287	1.972	4.00
493.76428	1.975	4.00
493.77798	1.975	4.00
493.80096	1.975	4.00
494.71918	1.484	3.00
495.77811	1.983	4.00
495.79691	1.487	3.00
496.79639	1.987	4.00
499.74579	1.499	3.00
500.78268	1.502	3.00
501.28629	2.005	4.00
501.71286	2.007	4.00
501.76697	2.007	4.00
502.29388	1.507	3.00
502.70209	2.011	4.00
502.81647	1.508	3.00
503.10791	1.509	3.00
503.91138	2.016	4.00
504.10675	1.512	3.00
504.23529	2.017	4.00
504.75156	2.019	4.00
504.88855	2.020	4.00
506.77292	1.520	3.00
507.44769	2.030	4.00
507.69980	1.523	3.00
508.80408	2.035	4.00
509.69818	2.039	4.00
510.78406	1.532	3.00
510.80310	1.532	3.00
511.64813	2.047	4.00
515.71576	1.547	3.00
516.66705	1.550	3.00
516.72369	1.550	3.00
516.77332	2.067	4.00
518.27234	1.555	3.00
518.77252	2.075	4.00
519.13922	1.557	3.00
519.36853	1.558	3.00
520.13831	1.560	3.00
521.13611	1.563	3.00
521.33942	2.085	4.00
522.13422	1.566	3.00
524.77283	2.099	4.00
525.74701	2.103	4.00
526.30768	2.105	4.00
528.98120	2.116	4.00
529.72888	1.589	3.00
531.25598	1.594	3.00
531.93945	2.128	4.00
532.28265	2.129	4.00
532.70801	2.131	4.00
534.28284	2.137	4.00
535.05750	2.140	4.00
535.67224	2.143	4.00
535.75439	2.143	4.00
536.76587	1.610	3.00
537.31244	2.149	4.00
537.76880	2.151	4.00
537.80457	2.151	4.00
538.70898	2.155	4.00
541.74426	2.167	4.00
544.74487	2.179	4.00
544.89008	2.180	4.00
546.27454	2.185	4.00
547.69061	2.191	4.00
547.70801	2.191	4.00
547.73944	2.191	4.00
549.66602	1.649	3.00
549.75989	2.199	4.00
549.78186	2.199	4.00
551.39313	2.206	4.00
551.72870	1.655	3.00
554.67822	2.219	4.00
554.68713	1.664	3.00
554.69653	1.664	3.00
555.72223	2.223	4.00
556.77032	2.227	4.00
557.27081	2.229	4.00
557.75983	2.231	4.00
557.80493	2.231	4.00
558.74591	2.235	4.00
559.21851	2.237	4.00
561.78052	1.685	3.00
562.24701	1.687	3.00
562.25757	2.249	4.00
563.68219	1.691	3.00
563.85333	2.255	4.00
564.78784	1.694	3.00
565.67719	1.697	3.00
565.68829	2.263	4.00
575.28851	2.301	4.00
577.12720	1.731	3.00
577.21704	1.732	3.00
582.19861	1.747	3.00
582.24927	2.329	4.00
583.26038	1.750	3.00
