BasePeak(1221points)	RT	Intensity
0	0.305	35438
1	0.838	34902
2	1.468	55614
3	2.047	169
4	2.262	196
5	2.536	37231
6	3.121	35810
7	3.732	48109
8	4.358	49564
9	4.984	34255
10	5.561	248
11	5.823	33439
12	6.420	40806
13	7.008	160
14	7.223	131
15	7.484	34057
16	8.065	37507
17	8.694	36265
18	9.327	44591
19	9.925	40464
20	10.531	42533
21	11.155	64469
22	11.787	50175
23	12.395	54434
24	12.982	56412
25	13.569	51672
26	14.201	56415
27	14.828	59747
28	15.385	199
29	15.647	58770
30	16.226	49560
31	16.802	310
32	17.094	51439
33	17.692	50589
34	18.232	240
35	18.494	49691
36	19.091	50795
37	19.688	50073
38	20.323	54248
39	20.926	52696
40	21.549	71282
41	22.179	51135
42	22.761	240
43	23.043	46439
44	23.614	47299
45	24.243	53020
46	24.876	74527
47	25.501	57754
48	26.131	49350
49	26.760	49322
50	27.392	46571
51	28.019	43324
52	28.648	48036
53	29.277	53281
54	29.862	407
55	30.123	53156
56	30.721	58744
57	31.355	57231
58	31.948	65738
59	32.575	53196
60	33.204	54499
61	33.834	54156
62	34.463	56085
63	35.109	58529
64	35.703	60271
65	36.313	61720
66	36.945	54741
67	37.558	57551
68	38.188	56992
69	38.817	71212
70	39.384	62502
71	40.011	66069
72	40.620	63558
73	41.250	77471
74	41.886	70177
75	42.508	57706
76	43.138	60826
77	43.767	55218
78	44.399	64634
79	45.044	60465
80	45.655	56933
81	46.285	57789
82	46.918	56857
83	47.545	52042
84	48.173	60080
85	48.803	49603
86	49.435	51852
87	50.062	83129
88	50.692	71443
89	51.272	210
90	51.545	81003
91	52.150	65103
92	52.754	55405
93	53.383	88399
94	54.016	65167
95	54.642	53924
96	55.272	54834
97	55.849	187
98	56.117	50301
99	56.715	56161
100	57.344	49283
101	57.973	43682
102	58.607	49889
103	59.233	50420
104	59.862	48101
105	60.492	58639
106	61.128	54446
107	61.751	58232
108	62.337	293
109	62.595	49152
110	63.195	67995
111	63.822	66866
112	64.452	72722
113	65.082	55390
114	65.714	60830
115	66.340	59648
116	66.989	55137
117	67.599	56920
118	68.232	50853
119	68.858	45435
120	69.489	56590
121	70.117	53517
122	70.750	64791
123	71.376	60828
124	71.976	60990
125	72.614	55371
126	73.238	50984
127	73.867	60312
128	74.496	64370
129	75.118	66020
130	75.752	70793
131	76.377	65454
132	77.026	58703
133	77.636	57999
134	78.268	61821
135	78.894	54416
136	79.524	68657
137	80.104	242
138	80.369	73770
139	80.987	73968
140	81.596	67930
141	82.227	83654
142	82.814	318
143	83.095	71968
144	83.692	73730
145	84.323	67805
146	84.956	74510
147	85.581	71062
148	86.211	61809
149	86.841	78461
150	87.473	65293
151	88.050	321
152	88.311	64532
153	88.909	68467
154	89.491	310
155	89.753	59064
156	90.300	308
157	90.561	66297
158	91.160	63538
159	91.791	60415
160	92.418	49906
161	93.054	51358
162	93.628	442
163	93.891	84069
164	94.490	77037
165	95.119	59116
166	95.749	56968
167	96.380	55458
168	97.007	54475
169	97.637	61911
170	98.267	69828
171	98.899	59678
172	99.525	54074
173	100.154	65333
174	100.784	49138
175	101.367	216
176	101.638	61255
177	102.236	72871
178	102.865	61107
179	103.504	74407
180	104.124	56525
181	104.753	69135
182	105.382	60601
183	105.965	358
184	106.227	60443
185	106.825	61126
186	107.454	62548
187	108.089	71021
188	108.712	64248
189	109.342	60417
190	109.972	75677
191	110.606	73324
192	111.231	100574
193	111.860	98121
194	112.492	82504
195	113.060	86237
196	113.618	77081
197	114.196	255
198	114.462	66143
199	115.012	66040
200	115.540	57713
201	116.097	62641
202	116.725	54753
203	117.357	49539
204	117.920	45542
205	118.483	66409
206	119.055	81303
207	119.636	49377
208	120.262	47705
209	120.824	46424
210	121.390	40729
211	121.977	535
212	122.186	148
213	122.404	493
214	122.669	36622
215	123.196	40269
216	123.763	54087
217	124.326	45939
218	124.952	55899
219	125.582	52539
220	126.211	55292
221	126.844	45695
222	127.471	36636
223	128.101	51351
224	128.730	56660
225	129.362	78410
226	129.989	55306
227	130.617	56331
228	131.248	56369
229	131.879	51505
230	132.506	68999
231	133.136	51125
232	133.770	65105
233	134.397	36084
234	134.966	35481
235	135.539	31327
236	136.109	30481
237	136.685	37869
238	137.255	25489
239	137.831	32772
240	138.400	30186
241	138.930	223
242	139.193	33077
243	139.736	27664
244	140.310	26070
245	140.886	24598
246	141.467	23288
247	141.995	163
248	142.212	174
249	142.473	28431
250	142.989	76
251	143.207	318
252	143.468	50901
253	144.071	48131
254	144.645	304
255	144.905	43519
256	145.507	30030
257	146.074	30639
258	146.646	34709
259	147.220	48568
260	147.742	183
261	148.009	42863
262	148.550	62398
263	149.179	76641
264	149.811	54366
265	150.437	34724
266	151.030	47819
267	151.531	200
268	151.798	36150
269	152.345	49735
270	152.870	154
271	153.139	38634
272	153.635	153
273	153.900	33054
274	154.448	33051
275	154.966	249
276	155.230	32087
277	155.720	73
278	155.947	284
279	156.207	49324
280	156.748	58987
281	157.272	227
282	157.535	43351
283	158.084	44733
284	158.651	32168
285	159.224	34161
286	159.743	255
287	160.008	40819
288	160.555	49542
289	161.124	33719
290	161.698	32643
291	162.269	31453
292	162.794	275
293	163.028	156
294	163.289	30642
295	163.827	35186
296	164.405	30046
297	164.994	31063
298	165.544	31118
299	166.116	33097
300	166.689	52383
301	167.262	33182
302	167.831	33721
303	168.406	35062
304	168.998	33019
305	169.559	33568
306	170.133	37405
307	170.713	41815
308	171.288	44329
309	171.864	29584
310	172.378	366
311	172.643	31925
312	173.185	35057
313	173.707	209
314	173.976	35515
315	174.521	38337
316	175.109	36158
317	175.662	34673
318	176.243	40637
319	176.816	33437
320	177.339	200
321	177.603	32621
322	178.147	31029
323	178.724	28614
324	179.297	39767
325	179.870	38329
326	180.394	259
327	180.659	33278
328	181.205	32792
329	181.777	39235
330	182.298	259
331	182.562	39713
