bin	frequency_per_min	period_min	magnitude
0	0.000000	∞	94434.39
1	0.092997	10.7530	11910.46
2	0.185994	5.3765	8575.16
3	0.278991	3.5843	4681.93
4	0.371988	2.6883	8087.43
5	0.464986	2.1506	6434.64
6	0.557983	1.7922	1821.43
7	0.650980	1.5361	232.47
8	0.743977	1.3441	5395.64
9	0.836974	1.1948	2242.89
10	0.929971	1.0753	2882.03
11	1.022968	0.9775	6485.28
12	1.115965	0.8961	3516.45
13	1.208962	0.8272	1219.64
14	1.301960	0.7681	4619.90
15	1.394957	0.7169	1302.45
16	1.487954	0.6721	3629.36
17	1.580951	0.6325	2288.80
18	1.673948	0.5974	1478.10
19	1.766945	0.5659	2173.97
20	1.859942	0.5377	2387.28
21	1.952939	0.5120	591.10
22	2.045937	0.4888	2776.43
23	2.138934	0.4675	981.05
24	2.231931	0.4480	1611.64
25	2.324928	0.4301	2025.79
26	2.417925	0.4136	1821.29
27	2.510922	0.3983	2081.24
28	2.603919	0.3840	2053.66
29	2.696916	0.3708	2566.93
30	2.789913	0.3584	2349.11
31	2.882911	0.3469	5246.37
32	2.975908	0.3360	522.06
33	3.068905	0.3258	2053.02
34	3.161902	0.3163	1120.65
35	3.254899	0.3072	2894.41
36	3.347896	0.2987	2839.07
37	3.440893	0.2906	2555.89
38	3.533890	0.2830	3567.17
39	3.626887	0.2757	1103.61
40	3.719885	0.2688	3902.73
41	3.812882	0.2623	2384.20
42	3.905879	0.2560	1317.86
43	3.998876	0.2501	876.52
44	4.091873	0.2444	1693.49
45	4.184870	0.2390	1125.93
46	4.277867	0.2338	845.99
47	4.370864	0.2288	1292.29
48	4.463862	0.2240	1269.96
49	4.556859	0.2194	349.21
50	4.649856	0.2151	1170.14
51	4.742853	0.2108	1725.43
52	4.835850	0.2068	1885.11
53	4.928847	0.2029	1009.07
54	5.021844	0.1991	2349.36
55	5.114841	0.1955	1038.39
56	5.207838	0.1920	2083.43
57	5.300836	0.1886	2067.30
58	5.393833	0.1854	2528.91
59	5.486830	0.1823	626.27
60	5.579827	0.1792	1703.47
61	5.672824	0.1763	2528.90
62	5.765821	0.1734	1706.15
63	5.858818	0.1707	1783.98
64	5.951815	0.1680	2169.34
65	6.044812	0.1654	1835.64
66	6.137810	0.1629	734.05
67	6.230807	0.1605	999.45
68	6.323804	0.1581	1022.67
69	6.416801	0.1558	938.78
70	6.509798	0.1536	2065.40
71	6.602795	0.1515	920.26
72	6.695792	0.1493	3630.56
73	6.788789	0.1473	1844.34
74	6.881787	0.1453	3192.96
75	6.974784	0.1434	1644.56
76	7.067781	0.1415	3545.76
77	7.160778	0.1396	414.97
78	7.253775	0.1379	1521.37
79	7.346772	0.1361	1581.68
80	7.439769	0.1344	602.56
81	7.532766	0.1328	2483.04
82	7.625763	0.1311	504.05
83	7.718761	0.1296	2503.80
84	7.811758	0.1280	875.01
