Scan,ContainScans,BasePeak,MaxIntensity,RetentionTime,MostIntenseMass2Charge,CumulativeIntensity,TotalScans
1,458,430.88818359375,35438,0.00508833333333333,430.888671875,58421,458
2,566,430.888946533203,34902,0.0139683333333333,430.889068603516,119176,1024
3,475,430.889251708984,55613,0.0244583333333333,430.889068603516,209652,1499
6,394,430.888732910156,37231,0.04226,430.889007568359,271274,1893
7,525,430.889190673828,35809,0.0520233333333333,430.889221191406,333868,2418
8,478,430.888641357422,48109,0.0621916666666667,430.888854980469,410778,2896
9,536,430.888885498047,49563,0.0726266666666667,430.888946533203,490521,3432
10,542,430.888916015625,34254,0.0830666666666667,430.889007568359,546605,3974
12,465,430.889038085938,33438,0.09705,430.889190673828,599784,4439
13,524,430.888824462891,40806,0.107005,430.889129638672,666668,4963
16,373,430.888732910156,34057,0.12474,430.888946533203,722139,5336
17,470,430.889068603516,37506,0.134413333333333,430.88916015625,785548,5806
18,419,430.888854980469,36264,0.144895,430.889129638672,845682,6225
19,424,430.888641357422,44590,0.155443333333333,430.888885498047,915726,6649
20,515,430.888641357422,40463,0.165415,430.888854980469,981500,7164
21,449,430.888977050781,42533,0.175516666666667,430.889099121094,1047980,7613
22,493,430.889038085938,64469,0.185908333333333,430.889221191406,1146613,8106
23,481,430.888885498047,50174,0.196446666666667,430.889129638672,1223544,8587
24,451,430.888641357422,54433,0.206575,430.889007568359,1310588,9038
25,446,430.889068603516,56412,0.21636,430.888916015625,1401967,9484
26,401,430.889068603516,51672,0.226153333333333,430.889099121094,1485342,9885
27,454,430.888854980469,56415,0.236686666666667,430.889129638672,1575818,10339
28,521,430.888793945313,59747,0.24713,430.889068603516,1667558,10860
30,405,430.889251708984,58769,0.260786666666667,430.889221191406,1762383,11265
31,487,430.888793945313,49559,0.270425,430.889221191406,1846922,11752
33,488,430.889099121094,51439,0.284901666666667,430.889404296875,1927343,12240
34,351,430.88916015625,50588,0.294858333333333,430.88916015625,2013623,12591
36,446,430.888824462891,49691,0.308235,430.889312744141,2092219,13037
37,493,430.888885498047,50795,0.318188333333333,430.889129638672,2175571,13530
38,508,430.889282226563,50072,0.32814,430.889251708984,2254269,14038
39,485,430.888793945313,54247,0.338713333333333,430.889129638672,2341511,14523
40,477,430.889129638672,52695,0.348766666666667,430.889404296875,2423376,15000
41,539,430.889404296875,71281,0.359156666666667,430.889343261719,2536889,15539
42,426,430.889587402344,51134,0.369651666666667,430.889556884766,2620515,15965
44,425,430.888885498047,46439,0.384041666666667,430.889312744141,2696724,16390
45,467,430.889862060547,47299,0.393558333333333,430.889770507813,2773120,16857
46,460,430.889801025391,53019,0.404045,430.889801025391,2859163,17317
47,470,430.88916015625,74526,0.414601666666667,430.889343261719,2975774,17787
48,472,430.889251708984,57754,0.42502,430.889617919922,3071357,18259
49,485,430.889099121094,49350,0.435515,430.889373779297,3150421,18744
50,524,430.888854980469,49321,0.446003333333333,430.889251708984,3230556,19268
51,430,430.889343261719,46571,0.45654,430.889373779297,3306346,19698
52,386,430.88916015625,43324,0.466986666666667,430.889465332031,3376777,20084
53,515,430.88916015625,48035,0.477468333333333,430.889434814453,3453591,20599
54,438,430.889434814453,53280,0.487956666666667,430.889221191406,3538438,21037
56,511,430.888763427734,53155,0.502043333333333,430.889251708984,3623163,21548
57,451,430.888824462891,58743,0.512011666666667,430.889038085938,3712615,21999
58,459,430.888549804688,57230,0.52259,430.888946533203,3803311,22458
59,474,430.888946533203,65738,0.532468333333333,430.889373779297,3904344,22932
60,469,430.888854980469,53196,0.542911666666667,430.888763427734,3993628,23401
61,515,430.889373779297,54499,0.553405,430.889282226563,4081333,23916
62,459,430.888641357422,54156,0.563895,430.888885498047,4163092,24375
63,556,430.889373779297,56084,0.574378333333333,430.889282226563,4256428,24931
64,434,430.888977050781,58529,0.585145,430.889038085938,4350706,25365
65,425,430.888885498047,60271,0.595045,430.888854980469,4444333,25790
66,402,430.888977050781,61720,0.605208333333333,430.88916015625,4542957,26192
67,432,430.888549804688,54740,0.615741666666667,430.888763427734,4633973,26624
68,563,430.889038085938,57550,0.625958333333333,430.889038085938,4722540,27187
69,472,430.888671875,56991,0.636461666666667,430.889038085938,4815785,27659
70,387,430.888732910156,71211,0.646953333333333,430.888671875,4933876,28046
71,514,430.888702392578,62501,0.656406666666667,430.888977050781,5035282,28560
72,471,430.888549804688,66069,0.666853333333333,430.888641357422,5143688,29031
73,450,430.888854980469,63558,0.676995,430.888885498047,5243077,29481
74,531,430.888763427734,77471,0.687501666666667,430.889068603516,5359028,30012
75,461,430.888916015625,70176,0.698106666666667,430.889068603516,5469317,30473
76,391,430.888763427734,57705,0.708471666666667,430.888763427734,5560636,30864
77,484,430.888885498047,60826,0.71897,430.888854980469,5661298,31348
78,472,430.888610839844,55217,0.729441666666667,430.888916015625,5749074,31820
79,482,430.888977050781,64634,0.739983333333333,430.88916015625,5852316,32302
80,477,430.888763427734,60465,0.750736666666667,430.88916015625,5948210,32779
81,444,430.888702392578,56932,0.760918333333333,430.889099121094,6039294,33223
82,493,430.888977050781,57789,0.77141,430.888977050781,6135221,33716
83,436,430.888854980469,56856,0.781971666666667,430.889099121094,6224045,34152
84,448,430.889129638672,52042,0.792411666666667,430.889282226563,6305779,34600
85,593,430.888854980469,60080,0.802886666666667,430.889038085938,6397441,35193
86,444,430.888885498047,49603,0.81338,430.889190673828,6474905,35637
87,437,430.889282226563,51851,0.823908333333333,430.889221191406,6558962,36074
88,458,430.88916015625,83129,0.834365,430.889373779297,6684316,36532
89,474,430.889068603516,71442,0.844865,430.889465332031,6796702,37006
91,436,430.8896484375,81003,0.859086666666667,430.889556884766,6927001,37442
92,400,430.888793945313,65102,0.869168333333333,430.88916015625,7027100,37842
93,461,430.889465332031,55405,0.879228333333333,430.889495849609,7118593,38303
94,443,430.889068603516,88399,0.889718333333333,430.889343261719,7261240,38746
