Scan	ContainScans	BasePeak	MaxIntensity	RT	MostIntenseMass2Charge	CumulativeIntensity	TotalScans
1	458	430.88818359375	35438	0.00508833333333333	430.888671875	55140	110
2	566	430.888946533203	34902	0.0139683333333333	430.889068603516	114145	144
3	475	430.889251708984	55613	0.0244583333333333	430.889068603516	203639	184
6	394	430.888732910156	37231	0.04226	430.889007568359	264333	237
7	525	430.889190673828	35809	0.0520233333333333	430.889221191406	323364	274
8	478	430.888641357422	48109	0.0621916666666667	430.888854980469	398521	319
9	536	430.888885498047	49563	0.0726266666666667	430.888946533203	476905	357
10	542	430.888916015625	34254	0.0830666666666667	430.889007568359	531543	392
12	465	430.889038085938	33438	0.09705	430.889190673828	582572	423
13	524	430.888824462891	40806	0.107005	430.889129638672	647322	461
16	373	430.888732910156	34057	0.12474	430.888946533203	701576	503
17	470	430.889068603516	37506	0.134413333333333	430.88916015625	762196	538
18	419	430.888854980469	36264	0.144895	430.889129638672	819152	575
19	424	430.888641357422	44590	0.155443333333333	430.888885498047	888492	631
20	515	430.888641357422	40463	0.165415	430.888854980469	951693	697
21	449	430.888977050781	42533	0.175516666666667	430.889099121094	1016143	737
22	493	430.889038085938	64469	0.185908333333333	430.889221191406	1112227	777
23	481	430.888885498047	50174	0.196446666666667	430.889129638672	1188095	834
24	451	430.888641357422	54433	0.206575	430.889007568359	1273337	907
25	446	430.889068603516	56412	0.21636	430.888916015625	1363025	982
26	401	430.889068603516	51672	0.226153333333333	430.889099121094	1442414	1024
27	454	430.888854980469	56415	0.236686666666667	430.889129638672	1531412	1078
28	521	430.888793945313	59747	0.24713	430.889068603516	1622069	1141
30	405	430.889251708984	58769	0.260786666666667	430.889221191406	1715439	1195
31	487	430.888793945313	49559	0.270425	430.889221191406	1796923	1235
33	488	430.889099121094	51439	0.284901666666667	430.889404296875	1875977	1279
34	351	430.88916015625	50588	0.294858333333333	430.88916015625	1961699	1361
36	446	430.888824462891	49691	0.308235	430.889312744141	2038402	1403
37	493	430.888885498047	50795	0.318188333333333	430.889129638672	2120163	1474
38	508	430.889282226563	50072	0.32814	430.889251708984	2197044	1514
39	485	430.888793945313	54247	0.338713333333333	430.889129638672	2281831	1582
40	477	430.889129638672	52695	0.348766666666667	430.889404296875	2361371	1622
41	539	430.889404296875	71281	0.359156666666667	430.889343261719	2472816	1663
42	426	430.889587402344	51134	0.369651666666667	430.889556884766	2554224	1709
44	425	430.888885498047	46439	0.384041666666667	430.889312744141	2628153	1766
45	467	430.889862060547	47299	0.393558333333333	430.889770507813	2704197	1807
46	460	430.889801025391	53019	0.404045	430.889801025391	2787258	1847
47	470	430.88916015625	74526	0.414601666666667	430.889343261719	2902154	1889
48	472	430.889251708984	57754	0.42502	430.889617919922	2995358	1937
49	485	430.889099121094	49350	0.435515	430.889373779297	3072955	1980
50	524	430.888854980469	49321	0.446003333333333	430.889251708984	3151009	2023
51	430	430.889343261719	46571	0.45654	430.889373779297	3224687	2069
52	386	430.88916015625	43324	0.466986666666667	430.889465332031	3293850	2108
53	515	430.88916015625	48035	0.477468333333333	430.889434814453	3367922	2144
54	438	430.889434814453	53280	0.487956666666667	430.889221191406	3450989	2185
56	511	430.888763427734	53155	0.502043333333333	430.889251708984	3533607	2229
57	451	430.888824462891	58743	0.512011666666667	430.889038085938	3621881	2269
58	459	430.888549804688	57230	0.52259	430.888946533203	3710025	2331
59	474	430.888946533203	65738	0.532468333333333	430.889373779297	3808621	2374
60	469	430.888854980469	53196	0.542911666666667	430.888763427734	3894734	2412
61	515	430.889373779297	54499	0.553405	430.889282226563	3980728	2458
62	459	430.888641357422	54156	0.563895	430.888885498047	4061591	2505
63	556	430.889373779297	56084	0.574378333333333	430.889282226563	4151864	2546
64	434	430.888977050781	58529	0.585145	430.889038085938	4244778	2597
65	425	430.888885498047	60271	0.595045	430.888854980469	4336725	2656
66	402	430.888977050781	61720	0.605208333333333	430.88916015625	4433790	2710
67	432	430.888549804688	54740	0.615741666666667	430.888763427734	4522004	2755
68	563	430.889038085938	57550	0.625958333333333	430.889038085938	4609659	2798
69	472	430.888671875	56991	0.636461666666667	430.889038085938	4701228	2844
70	387	430.888732910156	71211	0.646953333333333	430.888671875	4817333	2928
71	514	430.888702392578	62501	0.656406666666667	430.888977050781	4915562	2972
72	471	430.888549804688	66069	0.666853333333333	430.888641357422	5022668	3032
73	450	430.888854980469	63558	0.676995	430.888885498047	5118310	3075
74	531	430.888763427734	77471	0.687501666666667	430.889068603516	5231326	3120
75	461	430.888916015625	70176	0.698106666666667	430.889068603516	5340160	3164
76	391	430.888763427734	57705	0.708471666666667	430.888763427734	5428434	3206
77	484	430.888885498047	60826	0.71897	430.888854980469	5527231	3249
78	472	430.888610839844	55217	0.729441666666667	430.888916015625	5614361	3291
79	482	430.888977050781	64634	0.739983333333333	430.88916015625	5713352	3341
80	477	430.888763427734	60465	0.750736666666667	430.88916015625	5807498	3384
81	444	430.888702392578	56932	0.760918333333333	430.889099121094	5894378	3424
82	493	430.888977050781	57789	0.77141	430.888977050781	5989253	3468
83	436	430.888854980469	56856	0.781971666666667	430.889099121094	6077026	3511
84	448	430.889129638672	52042	0.792411666666667	430.889282226563	6157381	3554
85	593	430.888854980469	60080	0.802886666666667	430.889038085938	6247561	3595
86	444	430.888885498047	49603	0.81338	430.889190673828	6323343	3633
87	437	430.889282226563	51851	0.823908333333333	430.889221191406	6406425	3676
88	458	430.88916015625	83129	0.834365	430.889373779297	6528365	3718
89	474	430.889068603516	71442	0.844865	430.889465332031	6639367	3760
91	436	430.8896484375	81003	0.859086666666667	430.889556884766	6767626	3806
92	400	430.888793945313	65102	0.869168333333333	430.88916015625	6866489	3863
93	461	430.889465332031	55405	0.879228333333333	430.889495849609	6956397	3908
94	443	430.889068603516	88399	0.889718333333333	430.889343261719	7095183	3949
95	406	430.889007568359	65166	0.900258333333333	430.889373779297	7192754	3994
96	504	430.888824462891	53924	0.9107	430.889068603516	7274648	4037
97	410	430.888854980469	54834	0.921205	430.889129638672	7357807	4077
99	481	430.889221191406	50301	0.935285	430.889282226563	7438543	4121
100	476	430.888763427734	56160	0.945245	430.889221191406	7522790	4162
101	491	430.888854980469	49282	0.955726666666667	430.889068603516	7601158	4203
102	431	430.889373779297	43682	0.966216666666667	430.889404296875	7667935	4241
103	448	430.888916015625	49888	0.976781666666667	430.888885498047	7747473	4281
104	478	430.888946533203	50419	0.987208333333333	430.889282226563	7824350	4329
105	451	430.888977050781	48100	0.9977	430.888916015625	7900588	4377
106	503	430.889007568359	58638	1.00819166666667	430.889282226563	7991532	4421
107	523	430.888916015625	54445	1.01879666666667	430.889068603516	8079487	4460
108	471	430.889343261719	58231	1.02918666666667	430.889312744141	8170467	4500
110	480	430.888885498047	49152	1.04325333333333	430.889221191406	8243722	4538
111	434	430.889038085938	67995	1.053255	430.889282226563	8350108	4586
112	442	430.889404296875	66866	1.06369833333333	430.889404296875	8451006	4634
113	505	430.889190673828	72722	1.07419333333333	430.889404296875	8568090	4685
114	516	430.889282226563	55390	1.0847	430.889373779297	8652641	4728
115	488	430.889251708984	60829	1.09523166666667	430.889251708984	8750619	4772
116	449	430.889251708984	59647	1.105665	430.889373779297	8846033	4814
117	466	430.888824462891	55137	1.11648	430.888885498047	8933874	4858
118	512	430.888854980469	56919	1.12664333333333	430.88916015625	9021426	4903
119	503	430.889221191406	50852	1.1372	430.889373779297	9101866	4948
120	447	430.889312744141	45435	1.14763666666667	430.889343261719	9175881	4987
121	540	430.889068603516	56589	1.15815166666667	430.88916015625	9266691	5031
122	541	430.889190673828	53517	1.16861166666667	430.889282226563	9351882	5081
123	400	430.889282226563	64791	1.17917166666667	430.889251708984	9452497	5126
124	422	430.888549804688	60827	1.18960333333333	430.888671875	9546260	5187
125	386	430.888763427734	60989	1.19960666666667	430.888732910156	9640936	5234
126	380	430.889251708984	55371	1.21022833333333	430.889343261719	9729150	5277
127	462	430.888916015625	50983	1.22063666666667	430.889282226563	9810454	5325
128	472	430.889221191406	60311	1.231115	430.889251708984	9905154	5371
129	414	430.888793945313	64369	1.24159833333333	430.888946533203	10005291	5419
130	413	430.889190673828	66019	1.25195833333333	430.889556884766	10107176	5466
131	404	430.889221191406	70792	1.262525	430.889282226563	10222695	5515
132	383	430.888946533203	65454	1.27295	430.888946533203	10326680	5560
133	432	430.888977050781	58702	1.28377	430.889129638672	10417679	5608
134	421	430.889007568359	57999	1.29393	430.889312744141	10505715	5650
135	484	430.889251708984	61820	1.30447	430.88916015625	10604140	5699
136	473	430.889221191406	54415	1.31490333333333	430.889373779297	10692162	5740
137	499	430.88916015625	68657	1.32539333333333	430.889373779297	10800612	5789
139	476	430.889221191406	73770	1.339485	430.889312744141	10912732	5833
140	517	430.889221191406	73968	1.34978333333333	430.889282226563	11030446	5886
141	439	430.889282226563	67929	1.359925	430.889373779297	11142904	5930
142	500	430.889343261719	83654	1.37045166666667	430.889343261719	11272860	5979
