MZ	sumIntensity
430.889	54796638
432.886	43062032
445.121	28341100
428.892	26717195
434.883	16584874
429.09	12147835
519.14	10934521
446.12	6537785
447.118	4803269
436.88	3199407
503.109	3059365
431.893	2811522
520.139	2733079
593.159	2716471
432.887	2582904
430.089	2391026
434.884	2243261
433.89	2114800
431.892	2049769
430.89	1928555
433.889	1822698
503.108	1740760
418.772	1696191
429.089	1678645
447.348	1519742
431.087	1383988
521.137	1323942
521.136	1300581
429.895	1242803
431.086	1226487
429.896	1181540
428.893	1164061
419.316	1089039
436.881	995860
430.088	959231
430.888	925988
520.14	895020
418.773	892638
667.178	857160
432.885	828101
519.139	801529
445.12	794696
446.767	792148
435.886	747163
435.887	742345
504.108	729089
593.158	721409
419.317	702389
447.117	687057
467.802	614526
594.159	608986
446.119	582588
667.177	531910
472.772	502818
599.622	488009
447.347	471214
594.158	441527
428.891	426042
445.122	418560
577.127	413516
505.105	403416
577.128	397535
448.117	376286
494.72	362449
505.106	332748
504.109	315781
595.156	305237
415.038	294958
446.121	290550
519.141	286050
434.882	284960
741.197	280573
415.037	275096
446.768	266506
411.173	264155
495.797	258242
504.107	257921
520.138	256044
467.803	233321
448.118	224291
440.8	221586
593.16	218888
422.79	211073
448.351	207407
594.16	203032
637.499	199984
434.753	197327
668.178	182098
527.597	181468
667.179	179665
605.575	171301
539.62	168700
595.155	167226
522.137	165294
741.196	164410
472.773	163395
554.687	161458
668.179	159363
741.198	158820
595.157	150971
430.09	150610
555.64	145935
478.67	141402
448.116	139852
583.646	139074
589.602	137939
494.721	135087
909.367	133210
665.553	133029
428.735	125845
681.525	125104
520.141	121872
668.177	121206
414.785	117628
474.752	112618
447.124	110201
568.601	108445
422.759	108430
681.526	101164
422.789	99974
742.198	97924
521.138	96873
587.564	95497
438.877	95371
495.798	93653
480.728	92266
512.633	90638
639.537	90196
411.757	87278
604.578	87235
427.714	85124
467.762	82106
522.66	81522
522.136	79848
633.629	78042
432.086	77444
572.643	76629
436.879	76475
660.515	76252
449.791	75561
486.694	74662
632.609	74284
405.787	73930
412.805	72747
521.135	72060
516.668	71935
599.623	71264
494.665	71211
586.611	70479
741.195	70105
914.322	66554
539.667	66221
669.176	65972
639.5	64460
447.119	64318
604.568	63946
420.32	63920
429.091	62476
500.767	62183
423.797	62005
742.197	61652
494.719	60213
604.567	59126
909.366	58675
662.516	57573
445.69	57070
667.176	56103
683.526	55258
668.18	54891
505.657	54715
472.771	54663
815.216	54201
446.766	52912
554.632	52412
447.125	51560
474.751	51439
411.172	51267
604.579	51116
607.576	51000
522.138	50506
544.6	50368
568.6	49455
669.175	49170
648.593	49091
594.157	49067
412.765	48260
632.61	48133
741.199	47848
601.704	47610
536.166	47392
440.801	47308
434.754	46622
578.128	46426
485.718	46379
444.682	45950
413.267	45657
503.107	45452
449.792	45383
617.657	45143
447.349	44706
633.628	44701
639.538	44690
594.161	44558
536.167	44080
472.718	43992
511.625	43634
742.199	43602
553.613	43221
557.678	42752
557.63	41797
554.688	40685
572.642	40464
649.602	40421
651.146	40331
458.699	39893
431.891	38796
598.658	38703
516.669	38192
414.784	37077
486.693	36896
595.154	36231
407.74	36088
407.795	35688
609.533	35274
467.763	34924
651.147	34705
433.888	34617
529.598	34362
604.577	34295
550.613	33827
449.115	33681
623.56	33202
711.536	33177
451.753	32835
628.591	32553
555.651	32543
648.594	32124
607.575	32109
423.798	32065
545.685	32054
699.504	32007
412.806	31893
621.527	31670
578.127	31505
440.688	31470
669.177	31254
505.104	31077
533.192	30996
495.673	30867
495.796	30839
448.352	30803
516.667	30784
649.601	30700
593.157	30659
538.648	30633
637.5	30287
527.598	30182
577.129	30173
473.733	29982
503.11	29819
557.631	29538
742.196	29245
441.808	29200
529.635	28629
554.686	28481
451.752	28339
528.605	28280
461.74	28250
605.574	28229
521.689	28108
446.746	27751
505.705	27440
522.697	27385
815.217	27260
462.147	27134
489.685	26984
529.636	26888
444.738	26807
405.732	26555
440.799	26229
601.705	26183
