Scan	BasePeak	RT	MaxIntensity	CumulativeIntensity
1	430.88818359375	0.00508833333333333	35438.4765625	58424.6394042969
2	430.888946533203	0.0139683333333333	34902.3359375	119182.821655273
3	430.889251708984	0.0244583333333333	55613.53125	209662.330322266
6	430.888732910156	0.04226	37231.41015625	271289.327392578
7	430.889190673828	0.0520233333333333	35809.93359375	333888.692993164
8	430.888641357422	0.0621916666666667	48109.1328125	410800.655181885
9	430.888885498047	0.0726266666666667	49563.69140625	490545.741363525
10	430.888916015625	0.0830666666666667	34254.953125	546632.446624756
12	430.889038085938	0.09705	33438.83984375	599815.167175293
13	430.888824462891	0.107005	40806.1015625	666702.07913208
16	430.888732910156	0.12474	34057.02734375	722175.434509277
17	430.889068603516	0.134413333333333	37506.6015625	785588.519714355
18	430.888854980469	0.144895	36264.66015625	845726.002105713
19	430.888641357422	0.155443333333333	44590.76171875	915773.520294189
20	430.888641357422	0.165415	40463.6953125	981553.036529541
21	430.888977050781	0.175516666666667	42533.16796875	1048037.33615112
22	430.889038085938	0.185908333333333	64469.36328125	1146674.01437378
23	430.888885498047	0.196446666666667	50174.96484375	1223609.33029175
24	430.888641357422	0.206575	54433.60546875	1310656.49252319
25	430.889068603516	0.21636	56412.10546875	1402038.89047241
26	430.889068603516	0.226153333333333	51672.49609375	1485419.96228027
27	430.888854980469	0.236686666666667	56415.05859375	1575898.58813477
28	430.888793945313	0.24713	59747.203125	1667641.3604126
30	430.889251708984	0.260786666666667	58769.578125	1762468.84838867
31	430.888793945313	0.270425	49559.65625	1847013.03067017
33	430.889099121094	0.284901666666667	51439.14453125	1927437.12014771
34	430.88916015625	0.294858333333333	50588.65625	2013721.15658569
36	430.888824462891	0.308235	49691.33984375	2092319.52383423
37	430.888885498047	0.318188333333333	50795.49609375	2175675.15365601
38	430.889282226563	0.32814	50072.59375	2254375.86294556
39	430.888793945313	0.338713333333333	54247.6171875	2341620.82754517
40	430.889129638672	0.348766666666667	52695.6015625	2423488.87042236
41	430.889404296875	0.359156666666667	71281.828125	2537006.13012695
42	430.889587402344	0.369651666666667	51134.52734375	2620636.58129883
44	430.888885498047	0.384041666666667	46439.12109375	2696847.35736084
45	430.889862060547	0.393558333333333	47299.2421875	2773245.28924561
46	430.889801025391	0.404045	53019.59375	2859292.46820068
47	430.88916015625	0.414601666666667	74526.6484375	2975909.9708252
48	430.889251708984	0.42502	57754.4609375	3071496.63821411
49	430.889099121094	0.435515	49350.43359375	3150562.44497681
50	430.888854980469	0.446003333333333	49321.953125	3230700.33084106
51	430.889343261719	0.45654	46571.421875	3306495.13705444
52	430.88916015625	0.466986666666667	43324.140625	3376929.11630249
53	430.88916015625	0.477468333333333	48035.78515625	3453746.76113892
54	430.889434814453	0.487956666666667	53280.9609375	3538598.00772095
56	430.888763427734	0.502043333333333	53155.5078125	3623327.65142822
57	430.888824462891	0.512011666666667	58743.8203125	3712782.66192627
58	430.888549804688	0.52259	57230.98046875	3803481.72003174
59	430.888946533203	0.532468333333333	65738.2265625	3904519.42800903
60	430.888854980469	0.542911666666667	53196.015625	3993807.54638672
61	430.889373779297	0.553405	54499.02734375	4081516.9375
62	430.888641357422	0.563895	54156.00390625	4163278.96868896
63	430.889373779297	0.574378333333333	56084.71484375	4256621.11062622
64	430.888977050781	0.585145	58529.34765625	4350902.34405518
65	430.888885498047	0.595045	60271.21484375	4444531.48513794
66	430.888977050781	0.605208333333333	61720.04296875	4543157.76834106
67	430.888549804688	0.615741666666667	54740.51171875	4634177.91738892
68	430.889038085938	0.625958333333333	57550.53515625	4722747.63650513
69	430.888671875	0.636461666666667	56991.98046875	4815995.81008911
70	430.888732910156	0.646953333333333	71211.6796875	4934092.49539185
71	430.888702392578	0.656406666666667	62501.61328125	5035503.37942505
72	430.888549804688	0.666853333333333	66069.3125	5143912.8916626
73	430.888854980469	0.676995	63558.109375	5243307.20904541
74	430.888763427734	0.687501666666667	77471.390625	5359263.24780273
75	430.888916015625	0.698106666666667	70176.5703125	5469556.31088257
76	430.888763427734	0.708471666666667	57705.84375	5560879.58413696
77	430.888885498047	0.71897	60826.2265625	5661546.16165161
78	430.888610839844	0.729441666666667	55217.75	5749324.42111206
79	430.888977050781	0.739983333333333	64634.15234375	5852569.42526245
80	430.888763427734	0.750736666666667	60465.39453125	5948466.53347778
81	430.888702392578	0.760918333333333	56932.7421875	6039554.92367554
82	430.888977050781	0.77141	57789.0078125	6135484.51818848
83	430.888854980469	0.781971666666667	56856.67578125	6224312.41738892
84	430.889129638672	0.792411666666667	52042.3125	6306049.26107788
85	430.888854980469	0.802886666666667	60080.3515625	6397714.63079834
86	430.888885498047	0.81338	49603.38671875	6475181.69946289
87	430.889282226563	0.823908333333333	51851.6875	6559242.38653564
88	430.88916015625	0.834365	83129.3125	6684600.21908569
89	430.889068603516	0.844865	71442.90625	6796989.67938232
91	430.8896484375	0.859086666666667	81003.34375	6927291.84851074
92	430.888793945313	0.869168333333333	65102.85546875	7027393.25378418
93	430.889465332031	0.879228333333333	55405.01953125	7118890.21908569
94	430.889068603516	0.889718333333333	88399.3828125	7261541.14202881
95	430.889007568359	0.900258333333333	65166.890625	7361443.39620972
96	430.888824462891	0.9107	53924.37890625	7445520.68762207
97	430.888854980469	0.921205	54834.3359375	7532077.84567261
99	430.889221191406	0.935285	50301.44140625	7615438.78359985
100	430.888763427734	0.945245	56160.9765625	7702467.9498291
101	430.888854980469	0.955726666666667	49282.9453125	7782144.95367432
102	430.889373779297	0.966216666666667	43682.46875	7850366.83007813
103	430.888916015625	0.976781666666667	49888.91015625	7930333.78387451
104	430.888946533203	0.987208333333333	50419.578125	8010431.8706665
105	430.888977050781	0.9977	48100.921875	8088106.74951172
106	430.889007568359	1.00819166666667	58638.66015625	8180942.43447876
107	430.888916015625	1.01879666666667	54445.56640625	8270331.32781982
108	430.889343261719	1.02918666666667	58231.62890625	8364252.45095825
110	430.888885498047	1.04325333333333	49152.05078125	8439708.72265625
111	430.889038085938	1.053255	67995.421875	8546619.74591064
112	430.889404296875	1.06369833333333	66866.265625	8649160.26992798
113	430.889190673828	1.07419333333333	72722.203125	8767728.57409668
114	430.889282226563	1.0847	55390.34765625	8853799.78378296
115	430.889251708984	1.09523166666667	60829.640625	8953869.45193481
116	430.889251708984	1.105665	59647.6015625	9051181.12496948
117	430.888824462891	1.11648	55137.0234375	9140852.86663818
118	430.888854980469	1.12664333333333	56919.94921875	9230253.60491943
119	430.889221191406	1.1372	50852.7265625	9313564.85498047
120	430.889312744141	1.14763666666667	45435.04296875	9390190.20202637
121	430.889068603516	1.15815166666667	56589.73046875	9484397.40859985
122	430.889190673828	1.16861166666667	53517.08203125	9571156.84609985
123	430.889282226563	1.17917166666667	64791.3203125	9672294.31997681
124	430.888549804688	1.18960333333333	60827.6015625	9768614.45715332
125	430.888763427734	1.19960666666667	60989.76953125	9864442.31329346
126	430.889251708984	1.21022833333333	55371.19921875	9955791.39279175
127	430.888916015625	1.22063666666667	50983.61328125	10038978.401825
128	430.889221191406	1.231115	60311.74609375	10135257.7464905
129	430.888793945313	1.24159833333333	64369.55078125	10236469.9211121
130	430.889190673828	1.25195833333333	66019.9609375	10339202.0310974
131	430.889221191406	1.262525	70792.6640625	10455969.0917053
132	430.888946533203	1.27295	65454.1171875	10560933.7049561
133	430.888977050781	1.28377	58702.671875	10653516.1593323
134	430.889007568359	1.29393	57999.4296875	10743543.7628479
135	430.889251708984	1.30447	61820.97265625	10842382.8089905
136	430.889221191406	1.31490333333333	54415.98046875	10931735.3606262
137	430.88916015625	1.32539333333333	68657.0546875	11041513.9102478
139	430.889221191406	1.339485	73770.1328125	11156091.7395325
140	430.889221191406	1.34978333333333	73968.0234375	11275706.0351563
141	430.889282226563	1.359925	67929.953125	11388847.3323364
142	430.889343261719	1.37045166666667	83654.4453125	11522192.8742065
144	430.888916015625	1.38492333333333	71968.421875	11636810.7152405
145	430.889282226563	1.39487166666667	73729.8515625	11754162.1211243
146	430.889099121094	1.40537666666667	67805.21875	11860802.1529236
147	430.889068603516	1.41593166666667	74509.5078125	11977086.3608093
148	430.889099121094	1.42635166666667	71061.5	12089236.4177551
149	430.88916015625	1.43685	61808.9609375	12192925.991272
150	430.889099121094	1.44735	78461.453125	12316825.8372803
