Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
171010_Ip_Hela_ugi	100	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	101	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	102	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	103	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	104	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	105	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	106	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	107	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	108	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	109	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	110	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	111	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	112	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	113	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	114	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	115	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	116	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	117	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	118	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	119	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	120	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	121	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	122	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	123	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	124	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	125	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	126	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	127	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	128	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	129	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	130	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	131	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	132	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	133	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	134	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	135	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	136	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	137	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	138	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	139	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	140	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	141	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	142	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	143	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	144	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	145	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	146	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	147	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	148	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	149	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	150	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	151	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	152	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	153	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	154	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	155	0	0	0	0	0	0	NaN	0	0	
